iata,icao,name_en,name_local,city_en,city_local,country,alt_names
FCO,LIRF,Rome Fiumicino Airport,Aeroporto di Roma Fiumicino,Rome,Roma,Italy,Leonardo da Vinci|Fiumicino
CIA,LIRA,Rome Ciampino Airport,Aeroporto di Roma Ciampino,Rome,Roma,Italy,Ciampino
MXP,LIMC,Milan Malpensa Airport,Aeroporto di Milano Malpensa,Milan,Milano,Italy,Malpensa
LIN,LIML,Milan Linate Airport,Aeroporto di Milano Linate,Milan,Milano,Italy,Linate
BGY,LIME,Orio al Serio International Airport,Aeroporto di Bergamo Orio al Serio,Bergamo,Bergamo,Italy,Milano Bergamo|BGY
VCE,LIPZ,Venice Marco Polo Airport,Aeroporto di Venezia Marco Polo,Venice,Venezia,Italy,Marco Polo
TSF,LIPH,Treviso Antonio Canova Airport,Aeroporto di Treviso Antonio Canova,Treviso,Treviso,Italy,Treviso
VRN,LIPX,Verona Villafranca Airport,Aeroporto di Verona Villafranca,Verona,Verona,Italy,Valerio Catullo
BLQ,LIPE,Bologna Guglielmo Marconi Airport,Aeroporto di Bologna G. Marconi,Bologna,Bologna,Italy,Guglielmo Marconi
FLR,LIRQ,Florence Airport,Aeroporto di Firenze Peretola,Florence,Firenze,Italy,Peretola|A. Vespucci|Amerigo Vespucci
PSA,LIRP,Pisa International Airport,Aeroporto di Pisa Galileo Galilei,Pisa,Pisa,Italy,Galileo Galilei
GOA,LIMJ,Genoa Cristoforo Colombo Airport,Aeroporto di Genova C. Colombo,Genoa,Genova,Italy,Cristoforo Colombo
TRN,LIMF,Turin Airport,Aeroporto di Torino Caselle,Turin,Torino,Italy,Caselle
TRS,LIPQ,Trieste – Friuli Venezia Giulia Airport,Aeroporto di Trieste – Friuli Venezia Giulia,Trieste,Trieste,Italy,Ronchi dei Legionari
NAP,LIRN,Naples International Airport,Aeroporto di Napoli Capodichino,Naples,Napoli,Italy,Capodichino
BRI,LIBD,Bari Karol Wojtyła Airport,Aeroporto di Bari Karol Wojtyła,Bari,Bari,Italy,Palese
BDS,LIBR,Brindisi Airport,Aeroporto del Salento Brindisi,Brindisi,Brindisi,Italy,Salento
FOG,LIBF,Foggia Gino Lisa Airport,Aeroporto di Foggia Gino Lisa,Foggia,Foggia,Italy,Gino Lisa
PMO,LICJ,Palermo Falcone–Borsellino Airport,Aeroporto di Palermo Falcone e Borsellino,Palermo,Palermo,Italy,Punta Raisi
TPS,LICT,Trapani–Birgi Airport,Aeroporto di Trapani–Birgi,Trapani,Trapani,Italy,Vincenzo Florio
CTA,LICC,Catania Fontanarossa Airport,Aeroporto di Catania Fontanarossa,Catania,Catania,Italy,Vincenzo Bellini
REG,LICR,Reggio Calabria Airport,Aeroporto di Reggio Calabria,Reggio Calabria,Reggio Calabria,Italy,Tito Minniti
SUF,LICA,Lamezia Terme International Airport,Aeroporto di Lamezia Terme,Lamezia Terme,Lamezia Terme,Italy,Sant'Eufemia
CIY,LICB,Comiso Airport,Aeroporto di Comiso,Ragusa,Ragusa,Italy,Pio La Torre|Comiso
AHO,LIEA,Alghero–Fertilia Airport,Aeroporto di Alghero-Fertilia,Alghero,Alghero,Italy,Riviera del Corallo
CAG,LIEE,Cagliari Elmas Airport,Aeroporto di Cagliari Elmas,Cagliari,Cagliari,Italy,Mario Mameli|Elmas
OLB,LIEO,Olbia Costa Smeralda Airport,Aeroporto di Olbia Costa Smeralda,Olbia,Olbia,Italy,Costa Smeralda
PMF,LIMP,Parma Airport,Aeroporto di Parma,Parma,Parma,Italy,Giuseppe Verdi
PEG,LIRZ,Perugia San Francesco d'Assisi Airport,Aeroporto di Perugia S. Francesco d'Assisi,Perugia,Perugia,Italy,Umbria International
AOI,LIPY,Ancona Falconara Airport,Aeroporto di Ancona-Falconara,Ancona,Ancona,Italy,Raffaello Sanzio
RMI,LIPR,Rimini Federico Fellini Airport,Aeroporto di Rimini Federico Fellini,Rimini,Rimini,Italy,Miramare
BZO,LIPB,Bolzano Airport,Aeroporto di Bolzano,Bolzano,Bolzano,Italy,Bozen
FRL,LIPK,Forlì Airport,Aeroporto di Forlì,Forlì,Forlì,Italy,Luigi Ridolfi
VBS,LIPO,Brescia Montichiari Airport,Aeroporto di Brescia Montichiari,Brescia,Brescia,Italy,Gabriele D'Annunzio
CUF,LIMZ,Cuneo International Airport,Aeroporto di Cuneo,Cuneo,Cuneo,Italy,Levaldigi
PSR,LIBP,Pescara Abruzzo Airport,Aeroporto d'Abruzzo Pescara,Pescara,Pescara,Italy,Abruzzo
EBA,LIRJ,Elba Marina di Campo Airport,Aeroporto di Marina di Campo,Elba,Isola d'Elba,Italy,Marina di Campo
